Component,Threshold,Cutoff,Status
PlaceTargetWithMouse,1,8.123762926720783,Clean
SlowMoButton,3,8.123762926720783,Clean
Ack,5,8.123762926720783,Clean
Decoder,4,8.123762926720783,Clean
Encoder,3,8.123762926720783,Clean
EnginePacketType,1,8.123762926720783,Clean
Packet,6,8.123762926720783,Clean
Parser,3,8.123762926720783,Clean
SocketIOComponent,8,8.123762926720783,Clean
SocketIOEvent,4,8.123762926720783,Clean
SocketIOException,2,8.123762926720783,Clean
SocketPacketType,1,8.123762926720783,Clean
ByteOrder,1,8.123762926720783,Clean
CloseEventArgs,5,8.123762926720783,Clean
CloseStatusCode,2,8.123762926720783,Clean
CompressionMethod,1,8.123762926720783,Clean
ErrorEventArgs,2,8.123762926720783,Clean
Ext,5,8.123762926720783,Clean
Fin,1,8.123762926720783,Clean
HandshakeBase,7,8.123762926720783,Clean
HandshakeRequest,9,8.123762926720783,Fault_proner
HandshakeResponse,8,8.123762926720783,Clean
LogData,5,8.123762926720783,Clean
Logger,8,8.123762926720783,Clean
LogLevel,1,8.123762926720783,Clean
Mask,1,8.123762926720783,Clean
MessageEventArgs,6,8.123762926720783,Clean
Opcode,1,8.123762926720783,Clean
PayloadData,8,8.123762926720783,Clean
Rsv,1,8.123762926720783,Clean
WebSocket,8,8.123762926720783,Clean
WebSocketException,5,8.123762926720783,Clean
WebSocketFrame,8,8.123762926720783,Clean
WebSocketState,1,8.123762926720783,Clean
WebSocketStream,8,8.123762926720783,Clean
AuthenticationBase,6,8.123762926720783,Clean
AuthenticationChallenge,7,8.123762926720783,Clean
AuthenticationResponse,7,8.123762926720783,Clean
AuthenticationSchemes,1,8.123762926720783,Clean
Chunk,3,8.123762926720783,Clean
ChunkedRequestStream,8,8.123762926720783,Clean
ChunkStream,8,8.123762926720783,Clean
Cookie,7,8.123762926720783,Clean
CookieCollection,7,8.123762926720783,Clean
CookieException,4,8.123762926720783,Clean
EndPointListener,8,8.123762926720783,Clean
EndPointManager,6,8.123762926720783,Clean
HttpBasicIdentity,2,8.123762926720783,Clean
HttpConnection,8,8.123762926720783,Clean
HttpDigestIdentity,4,8.123762926720783,Clean
HttpHeaderInfo,6,8.123762926720783,Clean
HttpHeaderType,1,8.123762926720783,Clean
HttpListener,8,8.123762926720783,Clean
HttpListenerContext,7,8.123762926720783,Clean
HttpListenerException,4,8.123762926720783,Clean
HttpListenerPrefixCollection,7,8.123762926720783,Clean
HttpListenerRequest,8,8.123762926720783,Clean
HttpListenerResponse,8,8.123762926720783,Clean
HttpStatusCode,2,8.123762926720783,Clean
HttpStreamAsyncResult,6,8.123762926720783,Clean
HttpUtility,8,8.123762926720783,Clean
HttpVersion,2,8.123762926720783,Clean
InputChunkState,1,8.123762926720783,Clean
InputState,1,8.123762926720783,Clean
LineState,1,8.123762926720783,Clean
ListenerAsyncResult,7,8.123762926720783,Clean
ListenerPrefix,9,8.123762926720783,Fault_proner
NetworkCredential,5,8.123762926720783,Clean
QueryStringCollection,1,8.123762926720783,Clean
ReadBufferState,3,8.123762926720783,Clean
RequestStream,9,8.123762926720783,Fault_proner
ResponseStream,8,8.123762926720783,Clean
WebHeaderCollection,8,8.123762926720783,Clean
SslStream,4,8.123762926720783,Clean
HttpListenerWebSocketContext,6,8.123762926720783,Clean
TcpListenerWebSocketContext,8,8.123762926720783,Clean
WebSocketContext,4,8.123762926720783,Clean
AbstractTargetFollower,9,8.123762926720783,Fault_proner
UpdateType,1,8.123762926720783,Clean
AutoCam,4,8.123762926720783,Clean
FreeLookCam,6,8.123762926720783,Clean
HandHeldCam,3,8.123762926720783,Clean
LookatTarget,6,8.123762926720783,Clean
PivotBasedCameraRig,4,8.123762926720783,Clean
ProtectCameraFromWallClip,6,8.123762926720783,Clean
RayHitComparer,1,8.123762926720783,Clean
TargetFieldOfView,7,8.123762926720783,Clean
AxisTouchButton,7,8.123762926720783,Clean
ButtonHandler,5,8.123762926720783,Clean
CrossPlatformInputManager,8,8.123762926720783,Clean
ActiveInputMethod,1,8.123762926720783,Clean
VirtualAxis,4,8.123762926720783,Clean
VirtualButton,7,8.123762926720783,Clean
InputAxisScrollbar,2,8.123762926720783,Clean
Joystick,7,8.123762926720783,Clean
