Component,Threshold,Cutoff,Status
BoidMaster,8,7.952194695883142,Fault_proner
BoidUnit,5,7.952194695883142,Clean
HeadBob,6,7.952194695883142,Clean
PlatformerFirstPersonController,8,7.952194695883142,Fault_proner
MovementSettings,7,7.952194695883142,Clean
AdvancedSettings,3,7.952194695883142,Clean
TangoCharacterController,7,7.952194695883142,Clean
Common,3,7.952194695883142,Clean
AndroidResult,1,7.952194695883142,Clean
ErrorType,3,7.952194695883142,Clean
MetaDataKeyType,2,7.952194695883142,Clean
OrientationManager,4,7.952194695883142,Clean
TangoEnums,2,7.952194695883142,Clean
TangoPoseStatusType,1,7.952194695883142,Clean
TangoCoordinateFrameType,2,7.952194695883142,Clean
TangoCameraId,1,7.952194695883142,Clean
TangoEventType,0,7.952194695883142,Clean
TangoConfigType,1,7.952194695883142,Clean
TangoCalibrationType,0,7.952194695883142,Clean
TangoImageFormatType,1,7.952194695883142,Clean
TangoDepthCameraRate,1,7.952194695883142,Clean
TangoCoordinateFramePair,3,7.952194695883142,Clean
TangoXYZij,5,7.952194695883142,Clean
TangoEvent,3,7.952194695883142,Clean
TangoImageBuffer,3,7.952194695883142,Clean
TangoCameraIntrinsics,4,7.952194695883142,Clean
TangoPoseData,8,7.952194695883142,Fault_proner
TangoUnityImageData,4,7.952194695883142,Clean
TangoUnityDepth,5,7.952194695883142,Clean
AreaDescriptionEventListener,7,7.952194695883142,Clean
DepthListener,6,7.952194695883142,Clean
PoseListener,7,7.952194695883142,Clean
TangoCloudEventListener,5,7.952194695883142,Clean
TangoEventListener,6,7.952194695883142,Clean
VideoOverlayListener,6,7.952194695883142,Clean
AreaDescription,7,7.952194695883142,Clean
Metadata,3,7.952194695883142,Clean
AreaDescriptionAPI,6,7.952194695883142,Clean
DepthProvider,2,7.952194695883142,Clean
DepthAPI,3,7.952194695883142,Clean
PoseProvider,7,7.952194695883142,Clean
PoseProviderAPI,5,7.952194695883142,Clean
Tango3DReconstruction,7,7.952194695883142,Clean
Status,1,7.952194695883142,Clean
GridIndex,3,7.952194695883142,Clean
APISignedDistanceVoxel,3,7.952194695883142,Clean
APICameraCalibration,3,7.952194695883142,Clean
APIImageBuffer,3,7.952194695883142,Clean
APIPointCloud,3,7.952194695883142,Clean
APIPose,4,7.952194695883142,Clean
API,6,7.952194695883142,Clean
TangoApplication,9,7.952194695883142,Fault_proner
PermissionsTypes,1,7.952194695883142,Clean
