Component,Threshold,Cutoff,Status
BenchMarker,7,6.990883238541318,Fault_proner
Crawler,9,6.990883238541318,Fault_proner
Program,6,6.990883238541318,Clean
test,6,6.990883238541318,Clean
test1,6,6.990883238541318,Clean
testtest,6,6.990883238541318,Clean
Contentfix,6,6.990883238541318,Clean
Page_id,6,6.990883238541318,Clean
Images,6,6.990883238541318,Clean
ImagesFix,6,6.990883238541318,Clean
addedindexes,6,6.990883238541318,Clean
Configuration,5,6.990883238541318,Clean
Resources,3,6.990883238541318,Clean
Settings,2,6.990883238541318,Clean
BundleConfig,3,6.990883238541318,Clean
FilterConfig,2,6.990883238541318,Clean
EmailService,1,6.990883238541318,Clean
SmsService,1,6.990883238541318,Clean
ApplicationUserManager,5,6.990883238541318,Clean
ApplicationSignInManager,5,6.990883238541318,Clean
RouteConfig,2,6.990883238541318,Clean
Startup,5,6.990883238541318,Clean
WebApiConfig,2,6.990883238541318,Clean
MvcApplication,1,6.990883238541318,Clean
AccountController,7,6.990883238541318,Fault_proner
ChallengeResult,6,6.990883238541318,Clean
HomeController,4,6.990883238541318,Clean
ManageController,7,6.990883238541318,Fault_proner
ManageMessageId,1,6.990883238541318,Clean
ValuesController,5,6.990883238541318,Clean
Link,3,6.990883238541318,Clean
SearchController,3,6.990883238541318,Clean
SlaveController,6,6.990883238541318,Clean
InitialCreate,6,6.990883238541318,Clean
addtableSlaveControl,6,6.990883238541318,Clean
changedSlaveControlBuildNumber,6,6.990883238541318,Clean
Configuration_duplicated,5,6.990883238541318,Clean
ApplicationUser,2,6.990883238541318,Clean
ApplicationDbContext,5,6.990883238541318,Clean
ExternalLoginConfirmationViewModel,2,6.990883238541318,Clean
ExternalLoginListViewModel,1,6.990883238541318,Clean
SendCodeViewModel,2,6.990883238541318,Clean
VerifyCodeViewModel,2,6.990883238541318,Clean
ForgotViewModel,1,6.990883238541318,Clean
LoginViewModel,2,6.990883238541318,Clean
RegisterViewModel,2,6.990883238541318,Clean
ResetPasswordViewModel,2,6.990883238541318,Clean
ForgotPasswordViewModel,2,6.990883238541318,Clean
IndexViewModel,2,6.990883238541318,Clean
ManageLoginsViewModel,1,6.990883238541318,Clean
FactorViewModel,1,6.990883238541318,Clean
SetPasswordViewModel,2,6.990883238541318,Clean
ChangePasswordViewModel,2,6.990883238541318,Clean
AddPhoneNumberViewModel,2,6.990883238541318,Clean
VerifyPhoneNumberViewModel,2,6.990883238541318,Clean
ConfigureTwoFactorViewModel,1,6.990883238541318,Clean
